,variation,release_group,exercise_id,n_sets,MARE,OBZ,OB1,EC,rep_error_bias,is_FA,n_total_reps,signal_score,MARE delta w/ supermodel_v5_hydra,n_sets delta w/ supermodel_v5_hydra,is_FA delta w/ supermodel_v5_hydra
134,overhead press kneeling both arms,MVP,835,18,2.58%,77.78%,94.44%,1,-0.17,93.67%,192,94.37%,0.00%,0.00,-0.04%
135,overhead press kneeling single arm,List A,836,20,12.78%,55.00%,80.00%,0,-0.90,91.23%,379,89.06%,0.29%,0.00,-0.45%
136,overhead press kneeling single arm with resting arm down,MVP,832,20,3.06%,80.00%,95.00%,1,-0.20,86.81%,198,93.40%,1.56%,0.00,0.05%
137,overhead press standing alternating with resting arm down,MVP,841,20,2.51%,75.00%,100.00%,1,-0.15,91.63%,197,85.68%,-1.50%,0.00,-0.62%
138,overhead press standing alternating with resting arm up,List A,837,19,9.70%,42.11%,89.47%,1,-0.16,94.02%,198,81.14%,0.53%,0.00,0.71%
139,overhead press standing both arms,MVP,839,19,8.01%,68.42%,89.47%,1,-0.68,88.42%,179,91.12%,0.53%,0.00,-0.29%
140,overhead press standing single arm,MVP,840,20,1.53%,70.00%,100.00%,1,0.00,95.33%,401,97.92%,0.00%,0.00,0.10%
141,overhead press standing single arm with resting arm down,MVP,842,19,2.11%,78.95%,100.00%,1,0.11,89.12%,190,98.69%,0.53%,0.00,0.08%
142,overhead press wide kneeling alternating resting arm down,MVP,1498,5,0.00%,100.00%,100.00%,1,0.00,97.79%,60,88.29%,0.00%,0.00,0.49%
143,overhead press wide kneeling both arms,MVP,1500,5,0.00%,100.00%,100.00%,1,0.00,96.54%,50,79.53%,0.00%,0.00,0.00%
144,overhead press wide kneeling single arm,MVP,1501,5,23.33%,60.00%,80.00%,0,-1.40,78.40%,30,59.37%,-3.33%,0.00,-0.32%
145,overhead press wide standing alternating with resting arm down,MVP,1493,8,2.08%,75.00%,100.00%,1,0.00,97.63%,96,95.65%,0.00%,0.00,0.18%
146,overhead press wide standing both arms,MVP,1495,3,6.67%,66.67%,66.67%,1,-0.67,88.37%,30,97.28%,3.33%,0.00,-0.85%
